Companyname,Companyid,business_development_manager,page_views,offers,orders,company_reply_rate,product_completness,total_order_value_in_euro,monetize_amount,wootric_score,total_points,Groups on Final Points,,cluster
deleted_Cavu Gmbh,1079,Julian Panchyrz,0.019221326,0.01594533,0,1,0.903333333,0,0,0,99.31679902,1,,2
Titandix Vertriebs GmbH,2084,Florian Pagels,0.029603648,0.070615034,0.018181818,0.972972973,0.628333333,0,0,0,99.30486818,1,,2
Mavi Plastik Kimya Ins. San. Ve Dis Tic. A.S.,23888,Tunahan Güzel,0.016836198,0.186788155,0.018181818,0.814814815,0.278970588,0.027682211,0,0,99.29329572,1,,2
RENICHEM SL,14257,Juan Alvarado,0.045387583,0,0,1,0.94,0,0,0,99.26937917,1,,2
Möller Chemie GmbH & Co. KG,221,Julian Panchyrz,0.057944581,0.134396355,0.027272727,0.991689751,0.286650246,0.001059609,0,0,99.25400632,1,,2
Asilpax International b.v.,20493,Juan Alvarado,0.014801824,0,0,1,0.965,0,0,0,98.9900912,1,,2
Bodotex A/S,1829,Dimitrios Ntounas,0.064117853,0.056947608,0.027272727,1,0.57875,0,0,0,98.98745976,1,,2
DAKO AG,12873,Florian Pagels,0.117502631,0.029612756,0.009090909,1,0.701764706,0,0,0,98.7040999,1,,2
Brenntag DACH,27575,Julian Panchyrz,0.086495966,0,0,0.95,0.913730769,0,0,0,97.51133678,1,,2
Nigtas AS,15011,Tunahan Güzel,0.03402315,0.056947608,0.081818182,0.641025641,0.71,0.004977196,0,0,97.50331713,1,,2
GUIHUA CHEMICAL  LTD,30183,Dimitrios Ntounas,0.006243423,0.027334852,0,1,0.831875,0,0,0,97.37289156,1,,2
Brenntag Central & Eastern Europe and Balkan,27516,Oksana Senchyshyn,0.032900737,0,0,1,0.913730769,0,0,0,97.33157529,1,,2
Covey International,19671,Oksana Senchyshyn,0.067695545,0.004555809,0,1,0.859166667,0,0,0,97.25427234,1,,2
CHEMSOLL,15766,Umut Öztürk,0.018169063,0.045558087,0,1,0.74,0,0,0,97.02007049,1,,2
Omya Calcita,17742,Dimitrios Ntounas,0.013118204,0,0,1,0.922727273,0,0,0,96.79227384,1,,2
Dr. Paul Lohmann GmbH & Co. KGaA,33768,Florian Pagels,0.012346545,0,0,1,0.9158,0,0,0,96.40732725,1,,2
"CIMAI - Engenharia e Química Avançada, Unipessoal Lda",5656,Juan Alvarado,0.001262715,0.01594533,0,1,0.86,0,0,0,96.2522018,1,,2
Chemical Technologies SIA,18684,Oksana Senchyshyn,0.071132936,0.022779043,0.018181818,1,0.686603774,0,0,0,96.07900776,1,,2
Adityapur Dies,15209,Umut Öztürk,0.010943529,0.025056948,0,1,0.802,0,0,0,95.65856595,1,,2
KSAN SIA,7871,Oksana Senchyshyn,0.008137496,0.006833713,0,1,0.87625,0,0,0,95.58611738,1,,2
GIRON DE LA MASSUERE,33854,Houcem Bakkari,0.021746756,0,0,0.882352941,0.9942,0,0,0,94.91498484,1,,2
Sparrowings International,12710,Oksana Senchyshyn,0.066853736,0,0,1,0.831276596,0,0,0,94.90651656,1,,2
Vedra S.R.L.,2026,Dimitrios Ntounas,0.017327254,0.004555809,0,1,0.86,0,0,0,94.77752441,1,,2
"Zhejiang ZETian Fine Chemicals Co.,Ltd",17191,na,0.036759032,0,0,1,0.858164464,0,0,0,94.7461748,1,,2
NEXUS Kimya,14943,Umut Öztürk,0.006664328,0.006833713,0,1,0.86,0,0,0,94.69995901,1,,2
Greyhound Chromatography and Allied Chemicals Ltd,2010,Dimitrios Ntounas,0.181199579,0.006833713,0,1,0.685208333,0,0,0,94.68713822,1,,2
Borma Chemical Products Trading Company B.V.,32640,Juan Alvarado,0.118344441,0,0,0.85483871,0.918525896,0,0,0,94.58545233,1,,2
Alfred Kochen GmbH & Co. KG,17931,Florian Pagels,0.033391792,0.009111617,0,1,0.818,0,0,0,94.39191308,1,,2
Sino-Aluminas Ltd,7269,Dimitrios Ntounas,0.080182392,0.009111617,0,1,0.77,0,0,0,94.33144307,1,,2
Elso Kimya,16510,Umut Öztürk,0.004489653,0.043280182,0.090909091,1,0.340909091,0,0,0,94.10779181,1,,2
ELM Kimya A.S.,1414,Umut Öztürk,0.294984216,0.004555809,0,0.75,0.8108,0,0,0,93.70037253,1,,2
PCC Trade & Services GmbH,14463,Florian Pagels,0.079551035,0.01594533,0.009090909,0.983050847,0.705609756,0,0,0,93.41782979,1,,2
ZINCO Chelyabinsk Ltd.,23679,Oksana Senchyshyn,0.012136093,0,0,0.875,0.976666667,0,0,0,93.19013796,1,,2
UAB Parchemika,10743,Oksana Senchyshyn,0.047562259,0.006833713,0,1,0.786666667,0,0,0,93.07818887,1,,2
GEOHELLAS S.A,6008,Dimitrios Ntounas,0.017257103,0.006833713,0.009090909,1,0.764545455,0,0,0,92.27505228,1,,2
GETEC PARK SWISS AG,1500,Florian Pagels,0.012206243,0.020501139,0,1,0.75,0,0,0,92.21053996,1,,2
B.K.M. DANISMANLIK VE SOSYAL HIZMETLER TEKSTIL SANAYI TLS,10309,Umut Öztürk,0.052472817,0.072892938,0.018181818,1,0.4235,0.00148163,0,0,92.16175514,1,,2
