Companyname,Companyid,business_development_manager,page_views,offers,orders,company_reply_rate,product_completness,total_order_value_in_euro,monetize_amount,wootric_score,total_points,Groups on Final Points,,cluster
Konimpex Chemicals Sp. z o.o.,3578,Oksana Senchyshyn,0.048053315,0.020501139,0.009090909,0.288659794,0.499156627,7.36E-05,0,0.7,187.7192589,0,,1
Jenrashid Consultants,2905,Houcem Bakkari,0,0,0,0,0.86,0,0,0.7,183,0,,4
peri kimya,7649,Umut Öztürk,0.028761838,0.266514806,0.281818182,0.977941176,0.342156863,0.04131468,0,0,181.2410595,0,,2
Alsucrose corporation,2858,Florian Pagels,0,0,0,0,0,0,0,0.9,180,0,,1
SPECTRA International,2246,Julian Panchyrz,0,0,0,0,0,0,0,0.9,180,0,,1
VAC minerais,3392,Juan Alvarado,0.003507541,0,0,0,0.57,0,0,0.7,168.6753771,0,,1
LG Hemija d.o.o.,6554,Dimitrios Ntounas,0.041178534,0.002277904,0,0.550724638,0.64,0,0,0.5,162.0507394,0,,1
Aldur Maden Ltd Sti,2726,Umut Öztürk,7.02E-05,0,0,0,0.43,0,0,0.7,161.5035075,0,,1
WOCHEM KİMYA LİMİTED ŞİRKETİ,23053,Umut Öztürk,0.027078218,0.200455581,0.218181818,0.968992248,0.386857143,0.075977125,0,0,160.4715727,0,,2
VEER DYE CHEM,2316,Julian Panchyrz,0,0,0,0,0,0,0,0.8,160,0,,3
Julius Hoesch GmbH & Co. KG,210,Florian Pagels,0.158470712,0.293849658,0.090909091,1,0.376683168,0.020142567,0,0,155.7237006,0,,2
UAB “Paraffinum”,20662,Oksana Senchyshyn,0.036759032,0.029612756,0,1,0.825384615,0,0.183333333,0,154.0297336,0,,2
INNOVOX GMBH biolla,1124,Florian Pagels,0.190459488,0.330296128,0.027272727,0.829192547,0.330375546,0.001702034,0,0,139.1853534,0,,2
BÜFA Chemikalien GmbH & Co. KG,474,na,0.565485794,0.141230068,0.018181818,0.998885173,0.515671642,0.00068746,0,0,135.9532538,0,,2
DMRSÜREN KİMYA LTD ŞTİ,17505,Umut Öztürk,0.075692739,0.159453303,0.081818182,0.887096774,0.734,0.000130314,0,0,133.106804,0,,2
anatolia kimya,12624,Umut Öztürk,0.080673448,0.123006834,0.009090909,0.983606557,0.984444444,9.80E-05,0,0,128.8655703,0,,2
Wegochem Europe BV,1554,Juan Alvarado,0.474640477,0.08428246,0.045454545,0.995955511,0.567941177,0.000119306,0,0,127.8861899,0,,2
RUBIN KIMYEVI MADDELER SAN TİC.LTD.ŞTİ,29440,Tunahan Güzel,0.085724307,0.129840547,0.018181818,1,0.83875,0.009295118,0,0,126.7577001,0,,2
Swasti Exports,15637,Umut Öztürk,0.225745353,0.241457859,0,0.935543278,0.370453686,0,0,0,124.8786876,0,,2
Günkem Gündüz Kimyevi Maddeler İthalat Sanayi ve Ticaret A.Ş.,17493,Tunahan Güzel,0.107891968,0.164009112,0.081818182,0.898550725,0.406754386,0.015376116,0,0,121.3629242,0,,2
chemiekontor.de,7597,Florian Pagels,0.058365486,0.138952164,0.018181818,1,0.691333333,0.017779041,0,0,120.6896415,0,,2
Ursa Sanayi Hammaddeleri Ltd. Şti.,16149,Tunahan Güzel,0.128937215,0.104783599,0.090909091,0.826446281,0.673333333,9.21E-05,0,0,120.5835901,0,,2
KRENDALL srl,1236,Marcello Sanz,0.136653806,0.066059226,0.027272727,1,0.867254902,2.30E-05,0,0,118.8641259,0,,2
Cenik Chemicals,26063,Dimitrios Ntounas,0.211294283,0.13667426,0.018181818,1,0.478502226,0.003287686,0,0,115.7898096,0,,2
Arkem Chemicals,14793,Umut Öztürk,0.059417748,0.077448747,0.018181818,0.956896552,0.897586207,0.000243549,0,0,114.8454933,0,,2
GLOBAL EXPRO,12880,Umut Öztürk,0.041388986,0.082004556,0.063636364,0.921348315,0.734736842,0.000432199,0,0,114.0451109,0,,2
XATICO GROUP Sàrl.,13325,Houcem Bakkari,0.051280253,0.050113895,0.118181818,1,0.523333333,0,0,0,112.389822,0,,2
A. + E. Fischer-Chemie GmbH Co. KG,3783,Julian Panchyrz,0.220975096,0.104783599,0.054545455,1,0.34786645,0.004526318,0,0,110.7605198,0,,2
Sheri Trading Co,2613,Julian Panchyrz,0.129919327,0.091116173,0.018181818,0.965517241,0.669041096,0,0,0,110.0834815,0,,2
International Solvent Solutions BV,1272,Juan Alvarado,0.192844616,0.268792711,0.009090909,0.57195572,0.30011583,5.37E-05,0,0,108.8279064,0,,2
"Dmitrievsky Chemical Plant – Production, LLC",1256,Daria Gerasimova,0.013258506,0.043280182,0,0.759259259,0.416,0,0,0.2,108.0819247,0,,2
Molekula GmbH,4794,Florian Pagels,0.17109786,0.129840547,0.027272727,0.620347395,0.287437626,6.23E-05,0.066666667,0,105.3730329,0,,2
Chirag Enterprise,3918,Dimitrios Ntounas,0.013679411,0.06833713,0.018181818,1,0.71,0.013336606,0,0,104.8214208,0,,2
Brenntag GmbH,1837,Houcem Bakkari,0.490564714,0.027334852,0,0.813620072,0.679473684,0,0,0,104.6498939,0,,2
ATIC Chemicals Ltd.,5606,Umut Öztürk,0.015643634,0.018223235,0,1,1,0,0,0,104.4268286,0,,2
Vollmer Chemie Vertriebs-GmbH,1841,Umut Öztürk,0.014521221,0.006833713,0,0.571428571,0.752142857,0,0.12,0,104.2713751,0,,2
CANTON LABORATORIES PVT. LTD,8702,Dimitrios Ntounas,0.875131533,0,0,0.232283465,0.976977778,0,0,0,104.2196388,0,,4
Centro-Chem,11203,Oksana Senchyshyn,0.123184847,0.218678815,0.045454545,0.510909091,0.35826087,0.008112806,0,0,103.2556932,0,,2
LA-Solution GmbH,20571,Julian Panchyrz,0.026867766,0.097949886,0.009090909,0.943820225,0.647727273,0.003301873,0,0,102.6591095,0,,2
Falcone Specialities AG,4098,Julian Panchyrz,0.051560856,0.129840547,0.027272727,0.892156863,0.475123967,0,0,0,102.3647391,0,,2
Covestro Deutschland AG,11429,Alexander Kronenberg,0.033672396,0.029612756,0.009090909,1,0.828,0.007351828,0,0,101.5595356,0,,2
ALTAKEM CHEMICALS,17912,Anna Ziemes,0.025254297,0.047835991,0.027272727,0.92,0.670833333,0.047361247,0,0,100.5622499,0,,2
Echemi Solutions GmbH,6488,Florian Pagels,0.13447913,0.041002278,0.009090909,0.981818182,0.685538462,0,0,0,100.1104261,0,,2
Kajay Remedies Pvt Ltd,20634,Marcello Sanz,0.00168362,0,0,1,1,0,0,0,100.084181,0,,2
Performance Lubricants,8504,Dimitrios Ntounas,0.040617327,0.011389522,0,1,0.914444444,0,0,0,100.0309929,0,,2
Aeon Procare Pvt Ltd,2900,na,0,0,0,0,0,0,0,0.5,100,0,,3
Chemos GmbH & Co.KG,7020,Florian Pagels,0.089091547,0.056947608,0.018181818,0.97826087,0.62,0.000204217,0,0,99.41392784,1,,2
SOCOMORE,21601,Houcem Bakkari,0.021536303,0.009111617,0,1,0.93,0,0,0,99.39913861,1,,2
