id,Companyname,Companyid,page_views,offers,orders,company_reply_rate,product_completness,total_order_value_in_euro,monetize_amount,wootric_score,total_points,Groups on Final Points,KmeansClusterPredicted_2Clusters,KmeansClusterPredicted_3Clusters,KmeansClusterPredicted_4Clusters,KmeansClusterPredicted_5Clusters,KmeansClusterPredicted_6Clusters,KmeansClusterPredicted_7Clusters,KmeansClusterPredicted_8Clusters
100,City Chem Shanghai Limited,1308,0.004209049,0,0,0.375,0.477737705,0,0,0,42.84733772,2,1,0,2,1,0,6,7
101,Chem2Market GmbH,1314,0.001613469,0,0,0,0.476666667,0,0,0,23.91400678,2,1,0,2,1,4,2,1
102,Helio Beit Pigmentpasten GmbH,1330,0.005892669,0,0,1,0.404452555,0,0,0,70.5172612,1,0,1,1,0,3,1,5
103,CP International Chemicals Ltd,1334,0.037670993,0.002277904,0,1,0.67,0,0,0,85.8391305,1,0,1,1,0,3,1,0
104,Cure Biochem,1336,0.000701508,0,0,0,0.57,0,0,0,28.53507541,2,1,0,2,1,4,2,1
105,NUCLEUS KIMYA,1372,0.000350754,0,0,0,0.36,0,0,0,18.01753771,2,1,2,0,1,4,2,1
106,OOO SIBUR,1380,0.173833743,0,0,0.979591837,0.661243781,0,1,0,390.733468,0,0,1,1,0,3,1,0
107,Industrial Mineral Services Ltd,1389,0,0,0,0,0.29,0,0,0,14.5,2,1,2,0,1,4,2,1
108,Ing. Petr Svec - PENTA s.r.o.,1407,0.208067345,0.08428246,0.054545455,0.969879518,0.568558559,0.010671758,0,1,316.1580298,0,0,1,3,4,5,5,4
109,ELM Kimya A.S.,1414,0.294984216,0.004555809,0,0.75,0.8108,0,0,0,93.70037253,1,0,1,1,0,3,1,0
110,Poliver SpA,1417,0.005401613,0.002277904,0,1,0.57,0,0,0,79.22566154,1,0,1,1,0,3,1,5
111,Polbalt sp. z o. o.,1418,0.019501929,0,0,0.210526316,0.57,0,0,0,40.00141225,2,1,0,2,1,4,2,1
112,distripark.com Sp. z o.o.,1420,1,1,0.118181818,1,0.72744186,0.048541409,0,1,564.8625976,0,0,1,3,4,5,5,4
113,Klaus F. Meyer GmbH,1423,0.043914416,0.009111617,0,0.382352941,0.398534483,0,0,0,43.06241546,1,1,0,2,1,0,6,7
114,Penpet Petrochemical Trading GmbH,1425,0.028130481,0.013667426,0,0.206666667,0.500933333,0,0,0,39.52000922,2,1,0,2,1,4,2,1
115,DutCH2 B.V.,1435,0.000982112,0,0,0.090909091,0.43,0,0,0,26.09456012,2,1,0,2,1,4,2,1
116,LIQUICHEM Handelsgesellschaft mbH,1438,0.001753771,0,0,0,0.7125,0,0,0,35.71268853,2,1,0,2,2,1,4,2
117,Kolb Distribution Ltd.,1477,0.118835496,0,0,0.068965517,0.857058824,0,0,0,52.24299185,1,1,0,2,2,1,4,2
118,R.A.W. Minerals B.V.,1490,0.008067345,0,0,0,0.654,0,0,0,33.10336724,2,1,0,2,2,1,4,2
119,Rashtriya Chemical and Minerals,1497,0.005892669,0,0,0,0.542,0,0,0,27.39463346,2,1,0,2,1,4,2,1
120,GETEC PARK SWISS AG,1500,0.012206243,0.020501139,0,1,0.75,0,0,0,92.21053996,1,0,1,1,0,3,1,0
121,Livchem Logistics GmbH,1504,0.661732725,0.148063781,0.027272727,0.706666667,0.568504068,0.000404565,0,1,331.9529313,0,0,1,3,4,5,5,4
122,Prakash Chemicals International Pvt Ltd,1546,0.027920028,0,0,0.505747126,0.437368421,0,0,0,48.55177878,1,0,1,1,0,0,6,7
123,Wegochem Europe BV,1554,0.474640477,0.08428246,0.045454545,0.995955511,0.567941177,0.000119306,0,0,127.8861899,0,0,1,1,0,3,1,5
124,Azelis Deutschland Kosmetik GmbH,1555,0.066152227,0.013667426,0.009090909,0.976190476,0.6,0,0,0,86.66880219,1,0,1,1,0,3,1,5
125,Innua Europe Ltd,1568,0.056401263,0.077448747,0,0.708333333,0.574242424,0,0,0,82.43860045,1,0,1,1,0,0,6,5
126,Emertle Chemical Solutions,1569,0.013679411,0.022779043,0,1,0.389354839,0,0,0,74.70752113,1,0,1,1,0,3,1,5
127,Bernd Schwegmann GmbH & Co. KG,1574,0.010522624,0,0,1,0.57,0,0,0,79.02613118,1,0,1,1,0,3,1,5
128,Wistema GmbH,1596,0.010662925,0.002277904,0,0.916666667,0.712,0,0,0,82.42206046,1,0,1,1,0,3,1,0
129,Viaton Europe GmbH,1606,0.000491056,0,0,0,0.57,0,0,0,28.52455279,2,1,0,2,1,4,2,1
130,Keminntek Laboratories,1628,0,0,0,0,0.285454546,0,0,0,14.27272727,2,1,2,0,1,4,2,1
131,Agromineral,1633,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
132,San Nature,1638,0.003647843,0,0,0,0.71,0,0,0,35.68239214,2,1,0,2,2,1,4,2
133,Waldis UAB,1641,0.009821115,0,0,1,0.76,0,0,0,88.49105577,1,0,1,1,0,3,1,0
134,Amitek Infra Pvt. Ltd.,1642,0.034373904,0,0,0,0.4972,0,0,0,26.57869519,2,1,0,2,1,4,2,1
135,SBZ Corporation Ltd,1654,0.004419502,0.002277904,0,0,0.542,0,0,0,27.77655596,2,1,0,2,1,4,2,1
136,Alantum Europe GmbH,1676,0.065941775,0.002277904,0.009090909,0,0.486,8.60E-05,0,0,29.87945005,2,1,0,2,1,4,2,1
137,Equilex Chemicals B.V.,1678,0.042441249,0,0,0.153225806,0.515806452,0,0,0,35.57367534,2,1,0,2,1,4,2,1
138,Global Company for Chemical Industries,1686,0.00596282,0,0,0,0.71,0,0,0,35.798141,2,1,0,2,2,1,4,2
139,ViVoChem B.V.,1699,0.658084882,0.496583144,0.081818182,1,0.672222222,0.063296613,0,0,238.5252816,0,0,1,1,0,3,1,0
140,ESIM Chemicals GmbH,1704,0.006594177,0,0,0.15625,0.541176471,0,0,0,35.2010324,2,1,0,2,1,4,2,1
141,Solberg Industri AS,1719,0.005331463,0,0,0.473684211,0.29,0,0,0,38.45078366,2,1,2,0,1,0,6,7
142,MINERALCOMERS AD,1721,0.00764644,0,0,0.6,0.57,0,0,0,58.88232199,1,0,1,1,0,0,6,7
143,WhitChem Limited,1724,0.008698702,0,0,1,0.71,0,0,0,85.93493511,1,0,1,1,0,3,1,0
144,Meghna Colour Chem,1732,0.01017187,0.013667426,0.009090909,0.75,0.58,0,0,0,71.56026049,1,0,1,1,0,3,1,5
145,POLWAX S.A.,1748,0.003577692,0,0,0,0.71,0,0,0,35.6788846,2,1,0,2,2,1,4,2
146,Scotswood Chemicals Ltd,1749,0.024552788,0.004555809,0,0.666666667,0.57,0,0,0,63.97213449,1,0,1,1,0,0,6,7
147,Pavezyum Kimya San. Dis. Tic. A.S,1764,0.001543318,0,0,0,1,0,0,0,50.07716591,1,1,0,2,2,1,4,2
148,Connect Chemicals GmbH,1797,0.144580849,0.097949886,0.054545455,0.870317003,0.357504873,0.007954091,0.05,0.833333333,281.5812802,0,0,1,3,4,5,5,4
149,BERKIM KAUCUK PLASTIK KIMYA SAN VE TIC AS,1804,0.010803227,0,0,0.5,0.2492,0,0,0,38.00016135,2,1,2,0,1,0,6,7
150,Alcochem Minerals BV,1807,0,0,0,0,0.57,0,0,0,28.5,2,1,0,2,1,4,2,1
151,Triconor Distribution GmbH,1810,0.003788145,0,0,0,0.71,0,0,0,35.68940723,2,1,0,2,2,1,4,2
152,OQEMA B.V.,1821,0.081515258,0.011389522,0,0.828125,0.6036,0,0,0,77.93991722,1,0,1,1,0,3,1,5
153,Bodotex A/S,1829,0.064117853,0.056947608,0.027272727,1,0.57875,0,0,0,98.98745976,1,0,1,1,0,3,1,5
