Company Name,Company id,Count Page View,Count Search,Count Requests,Count Orders,Count Session Id,Total Order Value In Euro,Monetize Amount,Final Points,Groups on Final Points,ClusterPredicted K-means
Sulzer Chemtech Ltd,25081,0.001673874,0.001936108,0,0,0.006884682,0,0,0.524733181,3,0
RESIDUAL BARRIER TECHNOLOGY LTD,6907,0.001394895,0.003872217,0,0,0.005163511,0,0,0.521531136,3,0
Nueso Group,33340,0.001394895,0.003872217,0,0,0.005163511,0,0,0.521531136,3,0
Global fair trade j.d.o.o,31025,0.001394895,0.003872217,0,0,0.005163511,0,0,0.521531136,3,0
ZWI GmbH,9564,0.000418468,0.004840271,0,0,0.005163511,0,0,0.521112532,3,0
Wescom Signal & Rescue Germany GmbH,24075,0.000836937,0.000968054,0,0,0.008605852,0,0,0.52054215,3,0
FlavoLogic GmbH,26156,0.000836937,0.000968054,0,0,0.008605852,0,0,0.52054215,3,0
BIOSERVIZI SRLS,34594,0.000836937,0.000968054,0,0,0.008605852,0,0,0.52054215,3,0
Industry-Trade Europa Adrian Adamowski,19005,0.000697447,0.009680542,0,0,0,0,0,0.518899473,3,0
SAVUNMAN STARCH PRODUCE LTD. ŞTİ.,34794,0.002092342,0.004840271,0,0,0.003442341,0,0,0.518747694,3,0
GUNATIT CHEMICALS,33807,0.002092342,0.004840271,0,0,0.003442341,0,0,0.518747694,3,0
ICMOL,30088,0.002092342,0.004840271,0,0,0.003442341,0,0,0.518747694,3,0
LENK Paper GmbH,29602,0.00251081,0.000968054,0,0,0.006884682,0,0,0.518177311,3,0
Eumar Santehnika OÜ,30913,0.001534384,0.001936108,0,0,0.006884682,0,0,0.517758708,3,0
Co.lori srl,31569,0.001534384,0.001936108,0,0,0.006884682,0,0,0.517758708,3,0
Unimpex Bratislava sro,20959,0.000836937,0.007744434,0,0,0.00172117,0,0,0.515127045,3,0
BCG Digital Ventures,31203,0.001673874,0,0,0,0.008605852,0,0,0.51398628,3,0
Mustang Nutrition Technology,25451,0.000697447,0.000968054,0,0,0.008605852,0,0,0.513567677,3,0
Bioglan AB,34365,0.001952853,0.004840271,0,0,0.003442341,0,0,0.51177322,3,0
Inverfinca Hellas,32415,0.003347747,0,0,0,0.006884682,0,0,0.511621441,3,0
PINK GmbH Thermosysteme,22261,0.000976426,0.005808325,0,0,0.003442341,0,0,0.511354617,3,0
VSY BIOTECHNOLOGY,25153,0.000976426,0.005808325,0,0,0.003442341,0,0,0.511354617,3,0
Auralix d.o.o.,33291,0.002371321,0.000968054,0,0,0.006884682,0,0,0.511202838,3,0
"National Institute of Oncology, Centre of Radiotherapy",34048,0.001394895,0.001936108,0,0,0.006884682,0,0,0.510784235,3,0
WiBOTec-Surfaces GmbH & Co.KG,33305,0.001394895,0.001936108,0,0,0.006884682,0,0,0.510784235,3,0
Polychromal bv,32614,0.001394895,0.001936108,0,0,0.006884682,0,0,0.510784235,3,0
"AURORA FLAME Co., Ltd.",2759,0.001394895,0.001936108,0,0,0.006884682,0,0,0.510784235,3,0
Overall Hygiene Ltd,19611,0.001673874,0.006776379,0,0,0.00172117,0,0,0.508571175,3,0
Manor Trade Development Corp.,36168,0.000697447,0.007744434,0,0,0.00172117,0,0,0.508152571,3,0
Duurzaam Vesta BV,30873,0.002092342,0.002904163,0,0,0.005163511,0,0,0.508000792,3,0
VPR AROMATICS & CHEMICALS,2054,0.004324174,0.005808325,0,0,0,0,0,0.50662494,3,0
"Boehringer Ingelheim Pharmaceuticals, Inc.",18711,0.003347747,0.006776379,0,0,0,0,0,0.506206336,3,0
Halima Chemicals,17600,0.000418468,0.009680542,0,0,0,0,0,0.504950526,3,0
Klema Dentalprodukte GmbH,29002,0.000836937,0.005808325,0,0,0.003442341,0,0,0.504380143,3,0
Agrosom GmbH,28289,0.001255405,0.001936108,0,0,0.006884682,0,0,0.503809761,3,0
Epoxy Studio,30716,0.001255405,0.001936108,0,0,0.006884682,0,0,0.503809761,3,0
ESC Global Ltd,24400,0.001255405,0.001936108,0,0,0.006884682,0,0,0.503809761,3,0
Fildan GmbH,29248,0.001255405,0.001936108,0,0,0.006884682,0,0,0.503809761,3,0
Chempack LLC,33286,0.001255405,0.001936108,0,0,0.006884682,0,0,0.503809761,3,0
WhitChem Limited,1714,0.000557958,0.007744434,0,0,0.00172117,0,0,0.501178098,3,0
STECOPAL STRAT 2004,35780,0.001952853,0.002904163,0,0,0.005163511,0,0,0.501026319,3,0
Eradur Sp. z o.o.,23082,0.000976426,0.003872217,0,0,0.005163511,0,0,0.500607716,3,0
Diemme Food srl,18740,0.001255405,0.008712488,0,0,0,0,0,0.498394656,3,0
SAERTEX multiCom GmbH,18249,0.001255405,0.008712488,0,0,0,0,0,0.498394656,3,0
Reena Organics Pvt Ltd,1929,0.0026503,0.003872217,0,0,0.003442341,0,0,0.498242877,3,0
Aixmetal SAS,28162,0.001673874,0.004840271,0,0,0.003442341,0,0,0.497824273,3,0
Embega SCL,35672,0.000697447,0.005808325,0,0,0.003442341,0,0,0.49740567,3,0
Elite Lab,32000,0.001115916,0.001936108,0,0,0.006884682,0,0,0.496835288,3,0
"PRODUCTOS QP,SA",27392,0.001115916,0.001936108,0,0,0.006884682,0,0,0.496835288,3,0
LEGNO IDEA SRL,29812,0.001115916,0.001936108,0,0,0.006884682,0,0,0.496835288,3,0
SAS ORLINE,33838,0.001115916,0.001936108,0,0,0.006884682,0,0,0.496835288,3,0
Kamix,32973,0.001115916,0.001936108,0,0,0.006884682,0,0,0.496835288,3,0
LIVINGJUMBO INDUSTRY SA,25755,0.001115916,0.001936108,0,0,0.006884682,0,0,0.496835288,3,0
Allspares Limited,32087,0.001115916,0.001936108,0,0,0.006884682,0,0,0.496835288,3,0
Inserenx OÜ,21865,0.001394895,0.006776379,0,0,0.00172117,0,0,0.494622228,3,0
Exun Biocell Pvt Ltd,418,0.000836937,0.003872217,0,0,0.005163511,0,0,0.493633242,3,0
Dalan Kimya,36247,0.000836937,0.003872217,0,0,0.005163511,0,0,0.493633242,3,0
Michelin Recherche et Technique,33676,0.001534384,0.004840271,0,0,0.003442341,0,0,0.4908498,3,0
KBF Enterprises Ltd,35876,0.001534384,0.004840271,0,0,0.003442341,0,0,0.4908498,3,0
RS Smelldrive SL,23451,0.001534384,0.004840271,0,0,0.003442341,0,0,0.4908498,3,0
capital [ A ] architects ZT-GmbH,21748,0.000557958,0.005808325,0,0,0.003442341,0,0,0.490431197,3,0
METLOK PRIVATE LIMITED,8121,0.000557958,0.005808325,0,0,0.003442341,0,0,0.490431197,3,0
Youngle GmbH,33857,0.000976426,0.001936108,0,0,0.006884682,0,0,0.489860814,3,0
Will & Co,1762,0.000976426,0.001936108,0,0,0.006884682,0,0,0.489860814,3,0
NTS SpA,29239,0.000976426,0.001936108,0,0,0.006884682,0,0,0.489860814,3,0
Kreglinger Europe NV,24302,0.000976426,0.001936108,0,0,0.006884682,0,0,0.489860814,3,0
Premifab d.o.o.,36094,0.000976426,0.001936108,0,0,0.006884682,0,0,0.489860814,3,0
Fumi-Hogar S.L.,32254,0.000976426,0.001936108,0,0,0.006884682,0,0,0.489860814,3,0
