Company Name,Company id,Count Page View,Count Search,Count Requests,Count Orders,Count Session Id,Total Order Value In Euro,Monetize Amount,label
Semtu Oy,4327,0.228415759,0.203307393,0,0,0.214162349,0,0,cluster_2
Farben Koch GmbH,21202,0.078653255,0.055447471,0.063291139,0.016393443,0.174438687,0.009268114,0,cluster_1
Panaska Trading Co Ltd,26003,0.120564403,0.261673152,0.034810127,0,0.122625216,0,0,cluster_2
Wooshin Pigment Iksan Branch,1338,0.194188321,0.275291829,0,0,0.172711572,0,0,cluster_2
VladaChem GmbH,18635,0.231209835,0.114785992,0,0,0.291882556,0,0,cluster_2
ALWA Technische Produkte für Kunststoffverarbeitung Modell- und Formbau GmbH,26141,0.084939927,0.093385214,0.028481013,0,0.341968912,0,0,cluster_2
DETSAN KİMYA,31733,0.051690416,0.126459144,0.082278481,0,0.1208981,0,0,cluster_1
Ad Terram BV,21416,0.005727857,0.03307393,0.041139241,0.098360656,0.031088083,0,0,cluster_0
Stanlab SP ZOO,34932,0.115535066,0.121595331,0.079113924,0,0.074265976,0,0,cluster_1
HSH-Chemie,9582,0.035484772,0.203307393,0.034810127,0,0.246977547,0,0,cluster_2
United Quantum Factory sp.z.o.o,32081,0.050153674,0.015564202,0.126582278,0,0.050086356,0,0,cluster_1
Komochem,17920,0.053366862,0.125486381,0.056962025,0.032786885,0.082901554,0,0,cluster_1
Defni ApS,29544,0.052528639,0.186770428,0.07278481,0,0.089810017,0,0,cluster_1
IKOCHIMIKI,17657,0.057278569,0.126459144,0.094936709,0,0.055267703,0,0,cluster_1
"OZEKI CO.,LTD",1457,0.237356804,0.333657588,0,0,0.046632124,0,0,cluster_2
Asil Kimyasal,31961,0.08466052,0.158560311,0.075949367,0,0.069084629,0,0,cluster_1
"V & V DevelopmentsLtd., ZNL Deutschland",1154,0.071807768,0.098249027,0.075949367,0,0.138169257,0,0,cluster_1
AUTOFIX S.A.,22233,0.036322995,0.056420233,0.098101266,0.016393443,0.056994819,0.002099328,0,cluster_1
LAGUERRE,21182,0.025845208,0.110894942,0.082278481,0.016393443,0.070811744,0.003412241,0,cluster_1
Brenntag Nederland B.V.,9157,0.013830679,0.004863813,0.009493671,0.098360656,0.020725389,0.068055722,0,cluster_0
FH diffusion,20008,0.070131322,0.118677043,0.053797468,0,0.200345423,0,0,cluster_2
Caree Chemie GmbH,8908,0.019139424,0.004863813,0.047468354,0.081967213,0.050086356,0.005307235,0,cluster_0
GRUPO ANDINO DE INVERSIONES SAC,15997,0.058256496,0.042801556,0.03164557,0.032786885,0.039723661,0.101019065,0,cluster_1
HOS-Technik GmbH,21835,0.058955015,0.081712062,0.047468354,0.016393443,0.195164076,0.0034389,0,cluster_1
Noahs Ark Chemicals,2831,0.046940486,0.039883268,0.10443038,0,0.093264249,0,0,cluster_1
Viva Trade,18516,0.059094719,0.120622568,0.047468354,0.016393443,0.158894646,9.53E-04,0,cluster_1
ED STRAFOR VE YAPI MALZEMELERI IMALATI GIDA (REDCOLOUR),15826,0.003073484,0.005836576,0.03164557,0.114754098,0,0,0,cluster_0
Agrovit Group,32717,0.079770886,0.131322957,0.07278481,0,0.08462867,0,0,cluster_1
Magnochrom Aluminates LLC,21499,0.076417994,0.058365759,0.07278481,0,0.160621762,0,0,cluster_1
SC Chemical Company SA,23876,0.008102822,0.040856031,0.123417722,0,0.037996546,0,0,cluster_1
IRURENA GROUP,17229,0.029756915,0.111867704,0.069620253,0.016393443,0.093264249,0,0,cluster_1
Adamas Contractors,34501,0.09709416,0.075875486,0.07278481,0,0.113989637,0,0,cluster_1
UZ-AR MÜHENDİSLİK KİMYA SAN. VE DIŞ TİC. LTD. ŞTİ.,34654,0.133417156,0.079766537,0.053797468,0,0.146804836,0,0,cluster_1
cnp polymer gmbh,9316,0.062866723,0.115758755,0.082278481,0,0.067357513,0,0,cluster_1
